search_keyword,search_cnt,click_cnt,click_rate
국악딴따라,13548,0,0.0
르센느,1126,0,0.0
국어별동대,849,0,0.0
국악딴,745,0,0.0
무엇이든 해낼 당신에게,721,0,0.0
국악딴다라,600,0,0.0
제이플로라,560,0,0.0
34xp,394,0,0.0
로린디엘,341,0,0.0
mellozen,300,0,0.0
lovixx,268,0,0.0
nno signal,261,0,0.0
조선힙합 살아보니 그렇더라,241,0,0.0
playcoa,233,0,0.0
인생은 서툰 여행이래,228,0,0.0
시발존나덥다,227,0,0.0
우하이,220,0,0.0
무엇이든해낼당신에게,211,0,0.0
붓꽃잎편지,200,0,0.0
soonflow,197,0,0.0
germinie,196,0,0.0
국어 별동대,190,0,0.0
차쿤 에네스,178,0,0.0
빅밸,177,0,0.0
퍼피구조대,176,0,0.0
래몬탱,175,0,0.0
myofeel,171,0,0.0
사진 겜작,169,0,0.0
수고했어 여름,164,0,0.0
엘리스신드롬,161,0,0.0
僕には君がいないと,160,0,0.0
이용권,149,0,0.0
보넷도,148,0,0.0
좋게말하면 버틴거고,144,0,0.0
plimate,132,0,0.0
좋게 말하면 버틴거고,130,0,0.0
basecamp love,129,0,0.0
이용권해지,128,0,0.0
조선힙합 살다보니 그렇더라,127,0,0.0
인생은서툰여행이래,125,0,0.0
sueyalike,118,0,0.0
ヤラララ,117,0,0.0
성리 뜬소문,117,0,0.0
uyoung wave,117,0,0.0
스파이더맨 브랜드뉴데이,115,0,0.0
zinaflow,113,0,0.0
차쿤에네스,112,0,0.0
제,111,0,0.0
류우녕,108,0,0.0
힌로로,106,0,0.0
존박 러브어택,104,0,0.0
와이드씽,103,0,0.0
넘버블럭스,102,0,0.0
진건호,101,0,0.0
becca packer,100,0,0.0
a20 may,100,0,0.0
afterandafter,449,1,0.0022
내정보,302,1,0.0033
인생은 서툰,202,1,0.005
해지,508,3,0.0059
주간인기상,504,3,0.006
입춘 정승환,162,1,0.0062
에헤헤,156,1,0.0064
고래보석,151,1,0.0066
써이,137,1,0.0073
바라바줘요,134,1,0.0075
파데코,124,1,0.0081
dasies,124,1,0.0081
국민딴따라,243,2,0.0082
love basecamp,355,3,0.0085
오직 너이길,115,1,0.0087
아이우,111,1,0.009
분주한결,547,5,0.0091
배민,102,1,0.0098
어짜피 한번,291,3,0.0103
서핑보이,185,2,0.0108
가스인간,184,2,0.0109
먼작귀,180,2,0.0111
투표,267,3,0.0112
mlip,247,3,0.0121
겜작,2331,29,0.0124
네가 볼때,147,2,0.0136
맛뮤직,418,6,0.0144
진울,348,5,0.0144
사랑 사랑 사랑,136,2,0.0147
열,259,4,0.0154
ㅣ,130,2,0.0154
리듬세상,128,2,0.0156
장한별 하늘아,126,2,0.0159
nothingz,124,2,0.0161
제발 잊혀져,246,4,0.0163
뮤직웨이브,1504,25,0.0166
ㅇ,479,8,0.0167
don`t tell your dream,116,2,0.0172
민찬가,115,2,0.0174
이창섭 잔소리,109,2,0.0183
a20,162,3,0.0185
쿠폰,160,3,0.0188
에스피,106,2,0.0189
니썬뮤직,155,3,0.0194
rover is,398,8,0.0201
정승환 입춘,344,7,0.0203
어짜피한번,291,6,0.0206
김버거,233,5,0.0215
헬스키친,139,3,0.0216
0+0=1,138,3,0.0217
이런여유,355,8,0.0225
할 걸,393,9,0.0229
잔울,3497,82,0.0234
ej,128,3,0.0234
효리수,2803,69,0.0246
oh well,118,3,0.0254
방금 그 노래,189,5,0.0265
bys,113,3,0.0265
l,111,3,0.027
나도 같은 일년,108,3,0.0278
나도같은일년,238,7,0.0294
kelly is green,186,6,0.0323
ㅈ,172,6,0.0349
래드벨벳,113,4,0.0354
r,113,4,0.0354
씨앤블루,247,9,0.0364
허걱,137,5,0.0365
국악 딴따라,2276,84,0.0369
이런여유너무좋고,535,20,0.0374
무엇이든 해낼,607,23,0.0379
circle for you,105,4,0.0381
ㄱ,336,13,0.0387
무엇이든,383,15,0.0392
아이릿,175,7,0.04
사람이 지쳤잖아,580,24,0.0414
i kept the light on,118,5,0.0424
더위가 사람,164,7,0.0427
사람이지쳤잖아,138,6,0.0435
함수,115,5,0.0435
한그루비,294,13,0.0442
angle,154,7,0.0455
아사히,108,5,0.0463
호시아이,108,5,0.0463
고고프렌즈,381,18,0.0472
다윗 ost,106,5,0.0472
agust,124,6,0.0484
헬로핑,222,11,0.0495
리샌느,136,7,0.0515
ㅂ,271,14,0.0517
난홍,174,9,0.0517
임영웅 거리에서,132,7,0.053
국안딴따라,165,9,0.0545
야코,164,9,0.0549
생각을 멈추다 보면 진영,216,12,0.0556
오늘도 살아냈네,179,10,0.0559
yararara,195,11,0.0564
없어,105,6,0.0571
무엇이든해낼,174,10,0.0575
b,121,7,0.0579
칙플리,103,6,0.0583
스파이더맨 브랜드 뉴 데이,187,11,0.0588
이런 여유,434,26,0.0599
ㄴ,199,12,0.0603
ㅅ,296,18,0.0608
사람이 힘들잖아,113,7,0.0619
summer!,125,8,0.064
이런 여유 너무 좋고,716,52,0.0726
to,108,8,0.0741
빗물아부탁해,1439,107,0.0744
갠 아니야,107,8,0.0748
김치여자,200,15,0.075
불량연애,119,9,0.0756
돈,132,10,0.0758
hula hoop,138,11,0.0797
",",148,12,0.0811
tatoo,155,13,0.0839
할걸,901,76,0.0844
push up yellow,126,11,0.0873
빗물아 부탁해,1765,155,0.0878
mellow zen,135,12,0.0889
시발 존나 덥다,246,22,0.0894
티켓,178,16,0.0899
ㅋ,288,26,0.0903
그냥 해야돼,110,10,0.0909
이,206,19,0.0922
off the feed,531,50,0.0942
ㅎ,157,15,0.0955
빗물아,229,22,0.0961
다윗ost,383,37,0.0966
연화스님,112,11,0.0982
괜찮을거에요,131,13,0.0992
전설의 사내,110,11,0.1
my,199,20,0.1005
down,149,15,0.1007
베인,197,20,0.1015
사랑은 낭만적이라,108,11,0.1019
로또,107,11,0.1028
violet,143,15,0.1049
alien,161,17,0.1056
my stupid heart,104,11,0.1058
kiss and tell,168,18,0.1071
today lover,211,23,0.109
볼빨간,284,31,0.1092
don kai,128,14,0.1094
the night,100,11,0.11
me you,106,12,0.1132
why you look sad,122,14,0.1148
kiki,130,15,0.1154
hawaii,104,12,0.1154
잔율,219,26,0.1187
보고 싶어서,126,15,0.119
my boy,107,13,0.1215
체인지,148,18,0.1216
멜론차트,123,15,0.122
f world,139,17,0.1223
ㄷ,187,23,0.123
에네스,130,16,0.1231
레드,202,25,0.1238
w,153,19,0.1242
모르고,316,40,0.1266
no doubt,302,39,0.1291
f,115,15,0.1304
전설의사내,528,70,0.1326
나나호시,105,14,0.1333
나 아직도,149,20,0.1342
프미나,419,57,0.136
you & i,191,26,0.1361
예쁜 바람,117,16,0.1368
프로미스,116,16,0.1379
helloping,337,48,0.1424
함께라서 빛난 시간,119,17,0.1429
이영진,202,29,0.1436
에일리언,324,47,0.1451
circle,128,19,0.1484
손빈아 삼백초,147,22,0.1497
sea,100,15,0.15
성리 보금자리,333,50,0.1502
다줄게,105,16,0.1524
아,139,22,0.1583
성리 미련의부르스,126,20,0.1587
급류,119,19,0.1597
red,444,71,0.1599
지지,100,16,0.16
from,156,25,0.1603
푸름과 여름,131,21,0.1603
너는내게첫사랑,279,45,0.1613
train,124,20,0.1613
windburn,482,78,0.1618
엘레베이터,122,20,0.1639
쉬어,152,25,0.1645
jenny,223,37,0.1659
x,372,62,0.1667
k,112,19,0.1696
breath,112,19,0.1696
손빈아 찐이야,141,24,0.1702
예쁜바람,599,103,0.172
2,104,18,0.1731
하트시그널5,190,33,0.1737
music,114,20,0.1754
drawing,114,20,0.1754
사람,181,32,0.1768
딥상어,164,29,0.1768
more,107,19,0.1776
다윗,416,75,0.1803
수현,131,24,0.1832
내가 더,120,22,0.1833
love me love me,147,27,0.1837
집 home,113,21,0.1858
radio,242,45,0.186
성리 방황,161,30,0.1863
me,166,31,0.1867
사랑이,123,23,0.187
왜 그랬을까,101,19,0.1881
dont tell your dreams,115,22,0.1913
성리 미련의 부르스,188,36,0.1915
feather,292,56,0.1918
bed,300,58,0.1933
sun,206,40,0.1942
babo,250,49,0.196
young,107,21,0.1963
change,208,41,0.1971
wish you 행복,106,21,0.1981
감옥,111,22,0.1982
보낵도,120,24,0.2
0,149,30,0.2013
say,109,22,0.2018
no,217,44,0.2028
조선힙합 살아보니,398,81,0.2035
유희승,176,36,0.2045
now playing,112,23,0.2054
ㅁ,150,31,0.2067
sweat,314,65,0.207
애쉬,144,30,0.2083
king,159,34,0.2138
우리,312,67,0.2147
노라우타,333,72,0.2162
볼빤간사춘기,147,32,0.2177
네 생각,164,36,0.2195
now,182,40,0.2198
너를,109,24,0.2202
잘했고,122,27,0.2213
하지마하지마,108,24,0.2222
국악,1804,401,0.2223
하필오늘비가와,166,37,0.2229
memory,165,37,0.2242
luv town,133,30,0.2256
살아보니  그렇더라,567,128,0.2257
