search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence
효리수,6203,115,0.0185,false,,"소녀시대의 효연·유리·수영으로 구성된 유닛 그룹 이름으로, 2026년 5월 유퀴즈 온 더 블럭을 통해 정식 데뷔했습니다.",아티스트,high
겜작,5309,129,0.0243,false,,"'게임'과 '작(業)'의 합성어로, 게임 내 스탯이나 아이템을 얻기 위해 반복적으로 사냥/노동성 플레이를 하는 것을 뜻하는 게임 용어이며 음악과는 무관합니다.",지식,medium
뮤직웨이브,1396,18,0.0129,false,,"카카오엔터테인먼트 멜론이 2023년 선보인 실시간 음악 감상 및 채팅 서비스로, 아티스트별 테마 채널에서 팬들이 함께 음악을 듣고 소통할 수 있는 멜론 자체 기능입니다.",앱기능/서비스,high
무엇이든 해낼 당신에게,1237,0,0,false,,"검색 결과 노력과 성장을 주제로 한 남상훈 작가의 에세이 도서 제목으로 확인되며, 동일 제목의 곡은 확인되지 않았습니다.",지식,medium
또 사랑이라니,1170,25,0.0214,false,,"정확히 일치하는 곡, 드라마, 웹툰 등을 찾을 수 없어 구체적인 정체를 확인하지 못했습니다.",기타,low
biig,1167,11,0.0094,false,,"아일랜드 출신 싱어송라이터 Biig Piig(제시카 스미스) 또는 동명의 아티스트 'Biig'를 가리키는 것으로 추정되며, 힙합·네오소울 계열 음악을 선보입니다.",아티스트,medium
이런게 행복이지 뭐,1031,46,0.0446,false,,"SNS(틱톡·스레드 등)에서 '행복 뭐 별거 있습니까, 이게 행복이지'라는 형태로 널리 퍼진 유행 문구로, 소소한 일상의 행복을 표현할 때 쓰입니다.",밈/트렌드,medium
잔울,1019,20,0.0196,false,,"'너를 기다리는 밤', '빗물아 부탁해' 등을 발매한 국내 인디 뮤지션으로, 멜론과 스포티파이 등에 아티스트 페이지가 개설되어 있습니다.",아티스트,high
무엇이든 해낼,949,42,0.0443,true,무엇이든 해낼 당신에게,,,medium
또사랑이라니,879,20,0.0228,true,또 사랑이라니,,,high
빅밸,769,0,0,false,,"음악 아티스트로 특정할 만한 대상을 찾지 못했으며, 검색에서는 부동산 데이터 스타트업 '빅밸류' 등 음악과 무관한 결과만 확인되었습니다.",기타,low
국어별동대,690,0,0,false,,"유튜버 '백앤아'와 '고고프렌즈'가 함께 만든 국어 학습용 콘텐츠 겸 노래로, 2026년 7월 발매된 어린이 교육용 곡입니다.",음원,medium
불행했으면해,645,28,0.0434,false,,"정확히 일치하는 곡이나 챌린지를 찾지 못했으며, 유사한 제목의 '불행했으면 좋겠어' 등은 확인되나 동일곡 여부는 불확실합니다.",기타,low
