search_keyword,search_cnt,click_cnt,click_rate
르센느,1188,0,0.0
무엇이든 해낼 당신에게,997,0,0.0
국어별동대,788,0,0.0
제이플로라,653,0,0.0
맞게살아온걸까,612,0,0.0
nno signal,526,0,0.0
맞게 살아온걸까,441,0,0.0
국악딴,383,0,0.0
로린디엘,362,0,0.0
무엇이든해낼당신에게,358,0,0.0
34xp,331,0,0.0
국악딴다라,312,0,0.0
mellozen,299,0,0.0
mylo morrow,279,0,0.0
lovixx,238,0,0.0
zinaflow,234,0,0.0
playcoa,230,0,0.0
사진 겜작,221,0,0.0
mlip,210,0,0.0
soonflow,200,0,0.0
this &amp; that,197,0,0.0
시발존나덥다,196,0,0.0
myofeel,193,0,0.0
germinie,192,0,0.0
빅밸,185,0,0.0
퍼피구조대,185,0,0.0
래몬탱,179,0,0.0
인생은 서툰 여행이래,174,0,0.0
국어 별동대,173,0,0.0
걱정 겜작,164,0,0.0
수고했어 여름,153,0,0.0
차쿤 에네스,144,0,0.0
써이,142,0,0.0
僕には君がいないと,140,0,0.0
sueyalike,133,0,0.0
맞게살아온,132,0,0.0
맞게 살아,132,0,0.0
plimate,125,0,0.0
성리 뜬소문,125,0,0.0
엘리스신드롬,124,0,0.0
afterandafter,124,0,0.0
쏠 러브,124,0,0.0
어짜피한번,124,0,0.0
렏,123,0,0.0
와이드씽,118,0,0.0
이용권해지,114,0,0.0
ヤラララ,112,0,0.0
uyoung wave,109,0,0.0
얼데이드립,108,0,0.0
아이우,105,0,0.0
차쿤에네스,102,0,0.0
조선딴따라,101,0,0.0
국민딴따라,301,1,0.0033
내정보,288,1,0.0035
서핑보이,273,1,0.0037
해지,498,2,0.004
우하이,199,1,0.005
파데코,187,1,0.0053
진울,183,1,0.0055
basecamp love,171,1,0.0058
가스인간,165,1,0.0061
dasies,161,1,0.0062
고래보석,314,2,0.0064
주간인기상,604,4,0.0066
니이상형은,150,1,0.0067
허걱,149,1,0.0067
보넷도,138,1,0.0072
love basecamp,619,5,0.0081
