search_keyword,search_cnt,click_cnt,click_rate
무엇이든 해낼 당신에게,1237,0,0.0
빅밸,769,0,0.0
국어별동대,690,0,0.0
해지,532,0,0.0
세드레인,488,0,0.0
퍼피구조대,473,0,0.0
성리 그대는 미운사람,457,0,0.0
성리 세드레인,412,0,0.0
mellozen,385,0,0.0
무엇이든해낼당신에게,378,0,0.0
먼작귀,365,0,0.0
soonflow,330,0,0.0
로린디엘,303,0,0.0
germinie,300,0,0.0
34xp,299,0,0.0
장한별 인생이란,226,0,0.0
anoufie,225,0,0.0
캐시충전,221,0,0.0
lovixx,205,0,0.0
성리 그대는미운사람,204,0,0.0
빅벵,185,0,0.0
빅쟁,180,0,0.0
잘지내 겜작,177,0,0.0
안녕 겜작,168,0,0.0
serinwave,158,0,0.0
삼일후,156,0,0.0
녹는 가슴,156,0,0.0
쿠폰,155,0,0.0
하이웨이의 타천사,141,0,0.0
인생은 서툰 여행이래,139,0,0.0
서핑보이,136,0,0.0
붓꽃잎편지,134,0,0.0
국어 별동대,132,0,0.0
cherry flavoured,132,0,0.0
myofeel,130,0,0.0
elise noiret,128,0,0.0
빗뱅,128,0,0.0
이용권해지,124,0,0.0
zinaflow,123,0,0.0
래몬탱,120,0,0.0
성리세드레인,118,0,0.0
잘 지내 겜작,117,0,0.0
국민딴따라,116,0,0.0
맞게살아온걸까,114,0,0.0
uyoung wave,113,0,0.0
소문난목소리,108,0,0.0
차쿤에네스,108,0,0.0
빅뱉,105,0,0.0
장한별인생이란,105,0,0.0
파자마파티즈,103,0,0.0
무엇이든 해낼당신에게,101,0,0.0
윈위,101,0,0.0
jerome timu,100,0,0.0
음만노,488,1,0.002
빅뱡,354,1,0.0028
주간인기상,175,1,0.0057
고래보석,324,2,0.0062
치하,162,1,0.0062
보넷도,148,1,0.0068
meet my girls,139,1,0.0072
괜히비가오니까,128,1,0.0078
파데코,126,1,0.0079
biig,1167,11,0.0094
내정보,314,3,0.0096
마유미,104,1,0.0096
써이,104,1,0.0096
외톨이에게,234,3,0.0128
뮤직웨이브,1396,18,0.0129
ㅇ,454,6,0.0132
mellow zen,142,2,0.0141
보디가드 빈첸,190,3,0.0158
breath,118,2,0.0169
녹는가슴,410,7,0.0171
맞게 살아온 걸까,111,2,0.018
효리수,6203,115,0.0185
성리 바람의 노래,270,5,0.0185
이런 여유 너무,107,2,0.0187
rover is,208,4,0.0192
잔울,1019,20,0.0196
이런여유,302,6,0.0199
방금 그 노래,148,3,0.0203
또 사랑이라니,1170,25,0.0214
아이릿,139,3,0.0216
리샌느,138,3,0.0217
빅뱅 언제까지,135,3,0.0222
또사랑이라니,879,20,0.0228
ej,131,3,0.0229
",",126,3,0.0238
겜작,5309,129,0.0243
박뱅,164,4,0.0244
ㄱ,364,10,0.0275
verano!,217,6,0.0276
이용권,180,5,0.0278
사람이 힘들잖아,107,3,0.028
ㅁ,140,4,0.0286
갬작,138,4,0.029
열,102,3,0.0294
인생은 서툰,102,3,0.0294
사람이지쳤잖아,134,4,0.0299
정승환 입춘,197,6,0.0305
맛뮤직,294,9,0.0306
생각을 멈추다 보면 진영,159,5,0.0314
이런게행복이지뭐,285,9,0.0316
헬스키친,126,4,0.0317
헬로핑,208,7,0.0337
8월의여름,178,6,0.0337
사람이 지쳤잖아,544,19,0.0349
ㄷ,140,5,0.0357
ㅣ,138,5,0.0362
l,138,5,0.0362
고고프렌즈,331,12,0.0363
분주한결,108,4,0.037
빈첸 보디가드,154,6,0.039
ㅈ,230,9,0.0391
이,178,7,0.0393
좋아 좋아,216,9,0.0417
verano,310,13,0.0419
불행했으면해,645,28,0.0434
이런 여유,431,19,0.0441
무엇이든 해낼,949,42,0.0443
이런게 행복이지 뭐,1031,46,0.0446
ivana june,267,12,0.0449
니썬뮤직,197,9,0.0457
muse petal,129,6,0.0465
난홍,214,10,0.0467
허걱,150,7,0.0467
afterroom,107,5,0.0467
김버거,192,9,0.0469
ㅅ,259,13,0.0502
무엇이든,556,28,0.0504
travel again,116,6,0.0517
무엇이든해낼,268,14,0.0522
germinia,113,6,0.0531
helloping,278,15,0.054
손빈아 내사랑 그대여,109,6,0.055
meet my girl,127,7,0.0551
성리 바람의노래,143,8,0.0559
호랑이기세,614,35,0.057
불행했으면 해,1197,69,0.0576
언제까지 빅뱅,278,16,0.0576
big,469,29,0.0618
이런 여유 너무 좋고,627,39,0.0622
재생목록,128,8,0.0625
kelly is green,141,9,0.0638
빅,696,45,0.0647
이런여유너무좋고,492,32,0.065
ㅎ,137,9,0.0657
양보가 아니더라,225,15,0.0667
손빈아 못 잊겠어요,105,7,0.0667
불량연애,467,32,0.0685
angle,101,7,0.0693
to,129,9,0.0698
아,129,9,0.0698
the gang,243,17,0.07
성리 이별하러 가는길,155,11,0.071
성리 신곡,155,11,0.071
임영웅 거리에서,126,9,0.0714
ㄹ,112,8,0.0714
쉬어,181,13,0.0718
a20,481,35,0.0728
winner cypher,200,15,0.075
.com,120,9,0.075
나의,105,8,0.0762
루보체,117,9,0.0769
스트리밍,116,9,0.0776
나나호시,103,8,0.0777
씨앤블루,211,17,0.0806
호랑이 기세,279,23,0.0824
1 1,253,21,0.083
w,120,10,0.0833
yararara,177,15,0.0847
사랑 사랑 사랑,129,11,0.0853
빗물아부탁해,404,35,0.0866
ㅂ,277,24,0.0866
candy pink,252,22,0.0873
양보가아니더라,238,21,0.0882
티켓,145,13,0.0897
성리 그대는 미운 사람,306,28,0.0915
빗물아 부탁해,495,46,0.0929
body guard,127,12,0.0945
전설의 사내,121,12,0.0992
b,139,14,0.1007
모호함,106,11,0.1038
성리신곡,484,51,0.1054
신의악단,165,18,0.1091
manphasickzuck,165,18,0.1091
biiip,564,64,0.1135
burnout syndrome,128,15,0.1172
장윤정신곡,187,22,0.1176
널 지워야해,134,16,0.1194
beacon,106,13,0.1226
babby,218,28,0.1284
베인,185,24,0.1297
hey phone,613,81,0.1321
wave to earth love,135,18,0.1333
0,126,17,0.1349
secret,200,27,0.135
야코,147,20,0.1361
the star,132,18,0.1364
차가운 도시,139,19,0.1367
me you,100,14,0.14
love3,154,22,0.1429
멜론차트,140,20,0.1429
사랑이,112,16,0.1429
skibidi,138,20,0.1449
lovix,130,19,0.1462
more,114,17,0.1491
on & on,134,21,0.1567
me,159,25,0.1572
수고했어 여름,127,20,0.1575
프미나,253,40,0.1581
what,302,48,0.1589
붉은백합,139,23,0.1655
love you so psycho,156,26,0.1667
favorite,120,20,0.1667
date night jesse gold,108,18,0.1667
red,383,64,0.1671
dance,101,17,0.1683
이런게 행복이지뭐,190,32,0.1684
애쉬,128,22,0.1719
k,138,24,0.1739
딴따라,114,20,0.1754
two fools,318,56,0.1761
난,147,26,0.1769
sun,113,20,0.177
8,186,33,0.1774
8월의 여름,1486,266,0.179
tatoo,145,26,0.1793
time,197,36,0.1827
still,142,26,0.1831
come on,142,26,0.1831
love me love me,120,22,0.1833
x,342,63,0.1842
춤추는기억,103,19,0.1845
푸름과 여름,130,24,0.1846
radio,242,45,0.186
돈,128,24,0.1875
나의오랜여행,344,65,0.189
딥상어,163,31,0.1902
날씨가 좋고 바람도 좋아,109,21,0.1927
dawn,166,32,0.1928
하필오늘비가와,160,31,0.1938
24,129,25,0.1938
no doubt,347,68,0.196
너는내게첫사랑,102,20,0.1961
be,111,22,0.1982
활,116,23,0.1983
feather,136,27,0.1985
나 아직도,166,33,0.1988
우리,296,59,0.1993
