search_keyword,search_cnt,click_cnt,click_rate
무엇이든 해낼 당신에게,1096,0,0.0
soonflow,1072,0,0.0
국어별동대,574,0,0.0
빅밸,491,0,0.0
무엇이든해낼당신에게,361,0,0.0
34xp,349,0,0.0
zinaflow,334,0,0.0
인생은 서툰 여행이래,321,0,0.0
로린디엘,292,0,0.0
음만노,284,0,0.0
mellozen,284,0,0.0
퍼피구조대,283,0,0.0
ㅅ,258,0,0.0
germinie,246,0,0.0
차쿤 에네스,212,0,0.0
빅뱡,210,0,0.0
paul velchev,209,0,0.0
anoufie,207,0,0.0
스디파,198,0,0.0
노스텔지아 빅나티,195,0,0.0
행복이 그거래요,185,0,0.0
차쿤에네스,183,0,0.0
jerome timu,163,0,0.0
lovixx,156,0,0.0
인생은서툰여행이래,154,0,0.0
조춘청랑,139,0,0.0
방금 그 노래,136,0,0.0
kelly is green,135,0,0.0
빅벵,134,0,0.0
왜내가챙피해,134,0,0.0
빅나티 노스텔지아,132,0,0.0
이용권해지,131,0,0.0
파데코,131,0,0.0
국어 별동대,130,0,0.0
reyvi,128,0,0.0
파자마파티즈,125,0,0.0
래몬탱,124,0,0.0
빅쟁,121,0,0.0
캐시충전,121,0,0.0
발랃,118,0,0.0
치하,117,0,0.0
uyoung wave,116,0,0.0
조선딴따라,114,0,0.0
music wave,114,0,0.0
better days soonflow,112,0,0.0
ej,111,0,0.0
왜내가창피해,110,0,0.0
ヤラララ,109,0,0.0
에이아이돌,104,0,0.0
세드레인,104,0,0.0
보넷도,101,0,0.0
s0rrow,101,0,0.0
무엇이든 해낼당신에게,101,0,0.0
내정보,269,1,0.0037
녹는가슴,258,1,0.0039
해지,451,2,0.0044
맛뮤직,188,1,0.0053
biig,312,2,0.0064
투이드,157,1,0.0064
쿠팡,140,1,0.0071
비행정,258,2,0.0078
그냥 기다려보는거야,868,7,0.0081
그냥 기다려,122,1,0.0082
삼일후,115,1,0.0087
긍정의 사고,111,1,0.009
인생은서툰,103,1,0.0097
먼작귀,406,4,0.0099
이용권,197,2,0.0102
잔울,826,9,0.0109
투표,272,3,0.011
주간인기상,356,4,0.0112
이승기 비밀,236,3,0.0127
son lux dream state,150,2,0.0133
허걱,139,2,0.0144
8월의여름,112,2,0.0179
꺼져제발,220,4,0.0182
비밀 이승기,157,3,0.0191
하나님이 예비하신 사람,104,2,0.0192
ㅇ,466,9,0.0193
인생은 서툰,256,5,0.0195
국민딴따라,200,4,0.02
꺼져 제발,247,5,0.0202
지나간시간보다,195,4,0.0205
니썬뮤직,138,3,0.0217
갬작,131,3,0.0229
서핑보이,125,3,0.024
박뱅,124,3,0.0242
겜작,4372,113,0.0258
캐시,115,3,0.0261
그냥기다려보는거야,447,12,0.0268
무엇이든해낼,224,6,0.0268
고래보석,222,6,0.027
사람이지쳤잖아,146,4,0.0274
이런여유,287,8,0.0279
",",142,4,0.0282
호랑이기세,333,10,0.03
아이릿,100,3,0.03
ㅈ,191,6,0.0314
무엇이든 해낼,776,26,0.0335
난홍,200,7,0.035
이런 여유 너무 좋고,509,18,0.0354
불행했으면해,404,15,0.0371
ㅣ,132,5,0.0379
yararara,155,6,0.0387
a20,257,10,0.0389
이런여유너무좋고,387,16,0.0413
summer session,279,12,0.043
이,162,7,0.0432
사람이 지쳤잖아,487,22,0.0452
big,199,9,0.0452
효리수,11155,510,0.0457
ㅁ,130,6,0.0462
볼빨간,169,8,0.0473
이런게행복이지뭐,210,10,0.0476
좋아 좋아,187,9,0.0481
무엇이든,538,26,0.0483
룰루레몬,103,5,0.0485
씨앤블루,202,10,0.0495
헬로핑,242,12,0.0496
뮤직웨이브,1808,90,0.0498
불행했으면 해,729,37,0.0508
l,136,7,0.0515
on & on,115,6,0.0522
빗물아 부탁해,457,24,0.0525
candy pink,152,8,0.0526
왜 내가 챙피해,111,6,0.0541
김버거,236,13,0.0551
호랑이 기세,155,9,0.0581
빗물아부탁해,361,21,0.0582
성리 어머니,120,7,0.0583
헬스키친,135,8,0.0593
정승환 입춘,150,9,0.06
고고프렌즈,262,16,0.0611
이런 여유,371,23,0.062
angle,110,7,0.0636
echoes of us,187,12,0.0642
ㅂ,260,17,0.0654
거리에서 임영웅,120,8,0.0667
장위안,282,19,0.0674
지나간 시간보다,355,24,0.0676
나나호시,103,7,0.068
너가 최고야,247,17,0.0688
ㄷ,130,9,0.0692
이런게 행복이지 뭐,732,52,0.071
장한별 가슴앓이,179,13,0.0726
1 1,205,15,0.0732
아,134,10,0.0746
ㄱ,321,24,0.0748
스트리밍,104,8,0.0769
함께라서 빛난 시간,103,8,0.0777
ㅋ,243,19,0.0782
germinia,102,8,0.0784
moonflow,100,8,0.08
skibidi,580,48,0.0828
winner cypher,178,15,0.0843
노스탈지아,1014,87,0.0858
wave to earth love,151,13,0.0861
불량연애,355,32,0.0901
afterroom,133,12,0.0902
아무튼,216,21,0.0972
빅,371,37,0.0997
tatoo,110,11,0.1
my boy,109,11,0.1009
hey phone,235,24,0.1021
