search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence
겜작,9899,178,0.018,false,,"게임 커뮤니티에서 쓰이는 은어로 특정 스탯이나 아이템을 얻기 위해 반복적으로 사냥/노가다를 하는 행위를 뜻하며, 음악 아티스트나 음원과의 연관성은 확인되지 않는다.",지식,medium
불행했으면해,2017,71,0.0352,false,,"ByssBlue(비스블루)가 발매한 곡 '불행했으면 좋겠어 (feat. 나의 노래 메모장)'를 가리키는 것으로 추정되며, 앨범 'MLEP:EX'에 수록되어 있다.",음원,medium
효리수,1929,51,0.0264,false,,"소녀시대 멤버 효연·유리·수영으로 구성된 유닛명으로, 예능 콘텐츠를 통해 기획되어 방송 데뷔 후 OST에도 참여했다.",아티스트,high
잔울,1657,29,0.0175,false,,"감성 발라드 계열 음악을 하는 아티스트 '잔울(JANULL)'로, 유튜브와 Spotify에 채널 및 아티스트 프로필이 존재한다.",아티스트,medium
뮤직웨이브,1239,19,0.0153,false,,"멜론(카카오엔터테인먼트)이 운영하는 오디오 라이브 음악 감상 서비스로, 테마 채널에서 실시간으로 음악을 함께 듣고 채팅할 수 있는 멜론 자체 기능이다.",앱기능/서비스,high
무엇이든 해낼 당신에게,906,0,0,false,,"작가 남상훈이 발표한 힐링 에세이집의 제목으로, 동명의 노래나 CM송으로 확인되는 사례는 없어 음악과의 직접적 연관성은 낮다.",지식,medium
zinaflow,725,0,0,false,,"감성적인 힙합·R&B 음악을 만드는 아티스트로, Spotify와 Apple Music 등에 'Sweet on You' 등의 싱글과 앨범을 발매한 실존 뮤지션이다.",아티스트,high
국어별동대,692,0,0,false,,"유튜버 백앤아와 캐릭터 '고고프렌즈'가 협업해 발매한 국어 학습 테마의 동명 노래로, 틱톡·유튜브에서 어린이·청소년 사이에 유행하며 커버 챌린지가 확산되었다.",음원,medium
맛뮤직,640,9,0.0141,false,,"'맛뮤직(FLAVOR MUSIC)'이라는 이름의 소규모 유튜브 채널로 감성힙합·위로노래 콘텐츠를 올리며, 멜론 정식 카탈로그의 아티스트라기보다는 유튜브 전용 채널로 보인다.",기타,low
해지,535,2,0.0037,false,,멜론 이용권(구독) 해지를 의미하는 앱 서비스 메뉴 관련 용어이다.,앱기능/서비스,high
퍼피구조대,525,0,0,false,,"캐나다 애니메이션 'PAW Patrol'의 한국 로컬라이즈 제목인 유아용 애니메이션으로, 극중 테마곡을 찾으려는 검색으로 추정된다.",지식,medium
ㅇ,486,14,0.0288,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
무엇이든,458,14,0.0306,true,무엇이든 해낼 당신에게,,,medium
호랑이기세,432,21,0.0486,false,,"특정 곡명이나 고유 콘텐츠명으로는 확인되지 않으며, '호랑이의 기세'라는 일반적인 한국어 관용구로 판소리 '범 내려온다' 등 호랑이 이미지 밈과 연상되어 검색되었을 가능성이 있다.",지식,low
고래보석,403,3,0.0074,false,,"티니핑 극장판 '사랑의 하츄핑: 고래보석의 전설'을 가리키며, NCT WISH 재희·Hearts2Hearts 유하 등이 참여한 정식 OST 음원이 존재한다.",음원,high
mellozen,401,0,0,false,,"mellozen은 '너랑 있는 지금', '이 순간이 소중해' 등의 곡을 발매한 국내 뮤지션으로, 멜론에도 아티스트 페이지가 등록되어 있다.",아티스트,high
먼작귀,348,1,0.0029,false,,"먼작귀는 '먼가 작고 귀여운 녀석'의 줄임말로, 일본 캐릭터 '치이카와'의 한국어 번역명이자 2020년대 국내외에서 큰 인기를 끈 캐릭터 IP이다.",밈/트렌드,high
니썬뮤직,344,17,0.0494,false,,"니썬뮤직(Nisun Music)은 '슬프지 않아', '바람', '복도 끝에서' 등을 스포티파이·애플뮤직에 발매한 인디 뮤지션이다.",아티스트,high
음만노,339,2,0.0059,false,,"특정 아티스트, 곡, 서비스 용어와의 연관성을 확인하지 못한 검색어로 정확한 의미 파악이 어렵다.",기타,low
이런여유,334,6,0.018,true,이런 여유 너무 좋고,,,high
로린디엘,324,0,0,false,,"로린디엘(Lorindiel)은 '그밤 우리는', 'I'm Still Here' 등을 발표한 무명 인디 뮤지션으로, 최근 방송 라이브 영상으로 화제가 되었다.",아티스트,high
헤어져줘서 고마워 겜작,310,0,0,false,,"'헤어져줘서 고마워'는 가수 벤이 2019년 발매한 발라드곡이며, 뒤에 붙은 '겜작'이 정확히 무엇을 지칭하는지는 검색으로 확인되지 않았다.",음원,medium
nno signal,303,0,0,true,No Signal,,,high
rover is,296,11,0.0372,false,,"ROVER is는 '답 대신 방향', '맞게 살아온 걸까' 등을 발표한 국내 뮤지션으로, 애플뮤직·벅스 등에 아티스트 페이지가 있다.",아티스트,high
무엇이든해낼당신에게,295,0,0,true,무엇이든 해낼 당신에게,,,medium
34xp,294,0,0,false,,"34XP는 'THE BEACH' 등의 앨범을 발매한 팝 성향의 뮤지션으로, 애플뮤직 등 스트리밍 플랫폼에서 활동 중이다.",아티스트,high
불량연애,294,13,0.0442,true,불량 연애,,,medium
맞게 살아온 걸까,293,9,0.0307,false,,'맞게 살아온 걸까'는 뮤지션 ROVER is가 발표한 곡이다.,음원,high
내정보,289,1,0.0035,false,,"멜론 앱의 '내 정보' 메뉴로, 회원정보 확인 및 계정 설정을 관리하는 서비스 기능이다.",앱기능/서비스,high
헬로핑,258,7,0.0271,false,,헬로핑(Hello Ping)은 유튜브·틱톡 등에서 자작곡을 다수 발표해온 콘텐츠 크리에이터 겸 뮤지션이다.,아티스트,medium
맞게살아온걸까,257,0,0,true,"맞게 살아온 걸까 (ROVER is, 앨범 '다시 숨 쉬는 법' 수록곡)",,,medium
정승환 입춘,255,9,0.0353,false,,가수 정승환이 한로로의 원곡 '입춘'을 커버해 부른 무대(Project PRANK 2)를 가리키는 검색어이다.,음원,high
meet my girls,249,2,0.008,false,,"아티스트 TUIDE(튜이드)의 곡 'GRLS'에 나오는 가사 구절로, 틱톡 등에서 화제가 되며 이 가사로 곡을 찾는 검색이 발생한 것으로 보인다.",음원,medium
germinie,242,0,0,false,,"Spotify·Apple Music에 등록된 해외 음악 아티스트로, 'Too Good At This', 'Stay Right Here' 등의 곡을 발표했다.",아티스트,medium
맞게 살아온걸까,227,0,0,true,"맞게 살아온 걸까 (ROVER is, 앨범 '다시 숨 쉬는 법' 수록곡)",,,medium
갬작,227,8,0.0352,false,,"특정 아티스트나 곡명으로 명확히 확인되지 않는 표현으로, '갬성'(감성의 신조어) 계열 신조어이거나 다른 표현의 축약일 가능성이 있으나 근거가 부족하다.",기타,low
빅밸,225,0,0,false,,"빅뱅(BIGBANG) 멤버 관련 팬 콘텐츠(예: '대성이가 탑에게 쓴 편지')에서 쓰이는 축약 표현으로 추정되나, 특정 곡이나 공식 명칭으로는 확인되지 않는다.",기타,low
김버거,221,5,0.0226,false,,Spotify에 월간 청취자 약 5.9천 명을 보유한 음악 아티스트 '김버거'를 가리키는 것으로 보인다.,아티스트,medium
이,219,9,0.0411,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
