search_keyword,search_cnt,click_cnt,click_rate
무엇이든 해낼 당신에게,906,0,0.0
zinaflow,725,0,0.0
국어별동대,692,0,0.0
퍼피구조대,525,0,0.0
mellozen,401,0,0.0
로린디엘,324,0,0.0
헤어져줘서 고마워 겜작,310,0,0.0
nno signal,303,0,0.0
무엇이든해낼당신에게,295,0,0.0
34xp,294,0,0.0
맞게살아온걸까,257,0,0.0
germinie,242,0,0.0
맞게 살아온걸까,227,0,0.0
빅밸,225,0,0.0
lovixx,205,0,0.0
하이웨이의 타천사,192,0,0.0
myofeel,189,0,0.0
soonflow,186,0,0.0
래몬탱,182,0,0.0
mylo morrow,161,0,0.0
국어 별동대,159,0,0.0
보넷도,146,0,0.0
plimate,145,0,0.0
인생은 서툰 여행이래,137,0,0.0
얼데이드립,133,0,0.0
playcoa,131,0,0.0
우리가 시작이던 날,131,0,0.0
아이우,130,0,0.0
발랃,128,0,0.0
s0rrow,127,0,0.0
신지향,126,0,0.0
가스인간,125,0,0.0
삼일후,123,0,0.0
파데코,122,0,0.0
레이와의 레이나,119,0,0.0
쿠폰,118,0,0.0
리센ㄴ,117,0,0.0
차쿤 에네스,115,0,0.0
투표,111,0,0.0
uyoung wave,111,0,0.0
어스 지금이대로,110,0,0.0
잘지내 겜작,109,0,0.0
라스트 댄스를 그대와,108,0,0.0
엘리스신드롬,108,0,0.0
차쿤에네스,105,0,0.0
elise noiret,104,0,0.0
이용권해지,104,0,0.0
사랑ㅇ,100,0,0.0
먼작귀,348,1,0.0029
내정보,289,1,0.0035
해지,535,2,0.0037
음만노,339,2,0.0059
고래보석,403,3,0.0074
dinaflow,134,1,0.0075
진울,128,1,0.0078
우리가 시작이던날,127,1,0.0079
meet my girls,249,2,0.008
소문난 목소리,123,1,0.0081
빅뱡,114,1,0.0088
이영진,216,2,0.0093
잔율,108,1,0.0093
치하,103,1,0.0097
서핑보이,203,2,0.0099
니 이상형은,101,1,0.0099
국민딴따라,193,2,0.0104
kelly is green,155,2,0.0129
아름다운 지느러미,144,2,0.0139
맛뮤직,640,9,0.0141
주간인기상,210,3,0.0143
영기스트,137,2,0.0146
써이,133,2,0.015
뮤직웨이브,1239,19,0.0153
dasies,130,2,0.0154
",",128,2,0.0156
잔울,1657,29,0.0175
한그루비,114,2,0.0175
허걱,170,3,0.0176
겜작,9899,178,0.018
이런여유,334,6,0.018
피냐타,111,2,0.018
입춘 정승환,107,2,0.0187
r,103,2,0.0194
지디 로제,102,2,0.0196
아이릿,195,4,0.0205
눈물로는 눈물로도,139,3,0.0216
맞게 살아온,135,3,0.0222
김버거,221,5,0.0226
이용권,173,4,0.0231
나도같은일년,127,3,0.0236
ㅁ,126,3,0.0238
하추핑,116,3,0.0259
ej,152,4,0.0263
효리수,1929,51,0.0264
수고했어 여름,148,4,0.027
헬로핑,258,7,0.0271
분주한결,179,5,0.0279
ㅇ,486,14,0.0288
다윗 ost,100,3,0.03
무엇이든,458,14,0.0306
맞게 살아온 걸까,293,9,0.0307
너애플리,124,4,0.0323
생각을 멈추다 보면 진영,182,6,0.033
지드래곤 로제,117,4,0.0342
사람이지쳤잖아,144,5,0.0347
summer loveline,143,5,0.035
불행했으면해,2017,71,0.0352
갬작,227,8,0.0352
정승환 입춘,255,9,0.0353
녹는가슴,164,6,0.0366
조선나비,109,4,0.0367
빅,162,6,0.037
cherry flavoured,135,5,0.037
rover is,296,11,0.0372
차가운도시,106,4,0.0377
헬스키친,155,6,0.0387
리샌느,152,6,0.0395
이,219,9,0.0411
열,146,6,0.0411
yararara,169,7,0.0414
mellow zen,145,6,0.0414
b,137,6,0.0438
불량연애,294,13,0.0442
신의악단,113,5,0.0442
다나카 레이나,135,6,0.0444
소문난목소리,154,7,0.0455
wave to earth love,124,6,0.0484
