search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence
겜작,4011,81,0.0202,false,,"게임 내에서 특정 능력치나 아이템을 얻기 위해 같은 작업을 반복하는 행위를 뜻하는 게임 용어(파밍)로, 음악 관련 아티스트나 곡과는 무관한 검색어로 보입니다.",지식,medium
뮤직웨이브,2949,95,0.0322,false,,"카카오엔터테인먼트 멜론이 운영하는 실시간 음악 감상·채팅 서비스로, 다양한 테마 채널에서 재생되는 음악을 함께 듣고 대화할 수 있는 멜론 앱 내 기능입니다.",앱기능/서비스,high
노스텔지아 빅나티,1209,0,0,false,,"래퍼 빅나티(서동현)의 미공개곡이자 싱글 '노스텔지아(Nostalgia)'로, 데뷔 첫 단독 콘서트에서 처음 공개된 팝록 사운드의 곡입니다.",음원,high
무엇이든 해낼 당신에게,994,0,0,false,,"가수 jehoda가 2026년 4월 발매한 싱글 곡 제목으로, 힘든 시기를 보내는 이들에게 응원과 위로를 전하는 메시지를 담고 있습니다.",음원,medium
그냥 기다려보는거야,962,12,0.0125,false,,"특정 곡의 가사나 SNS에서 쓰이는 문구로 추정되나, 검색 결과 정확히 일치하는 곡이나 아티스트를 특정할 수 없었습니다.",기타,low
잔울,806,7,0.0087,false,,"Apple Music과 Spotify에서 활동 중인 한국 싱어송라이터로, '너를 기다리는 밤', '빗물아 부탁해' 등 감성적인 발라드 곡을 발매했습니다.",아티스트,medium
조춘청랑,800,0,0,false,,"배우 손천, 정백연이 출연한 중국 드라마 제목(원제: 早春晴朗)으로, 음악과는 무관한 콘텐츠입니다.",지식,medium
무엇이든 해낼,746,25,0.0335,true,무엇이든 해낼 당신에게,,,high
불행했으면 해,725,29,0.04,false,,"'불행했으면 좋겠어' 계열의 감성적인 문구/가사로 추정되나, 검색 결과 정확히 일치하는 곡 제목을 특정할 수 없었습니다.",기타,low
kelly is green,715,21,0.0294,false,,"얼터너티브 장르의 음악을 발매하는 아티스트로, 'SO BAD', 'Too Cute2', '365' 등의 곡을 Apple Music과 Shazam 등에서 확인할 수 있습니다.",아티스트,medium
soonflow,680,0,0,false,,"팝 장르의 곡을 발매하는 아티스트(코러스/총괄 프로듀서 활동 포함)로, 'The Best Is Yet to Come', 'Better Days' 등의 곡이 Spotify와 Shazam에 등록되어 있습니다.",아티스트,medium
34xp,621,0,0,false,,"Spotify, Apple Music 등 주요 스트리밍 플랫폼에서 활동 중인 아티스트로, 'work of art', 'beachfront' 등의 곡을 발매했습니다.",아티스트,medium
지나간시간보다,582,18,0.0309,false,,"시간의 흐름을 주제로 한 곡의 가사 일부로 추정되나, 검색 결과 정확히 일치하는 곡이나 아티스트를 특정할 수 없었습니다.",기타,low
해지,520,3,0.0058,false,,멜론 이용권(정기결제)을 해지하는 것과 관련된 메뉴/기능을 가리키는 앱 서비스 용어입니다.,앱기능/서비스,high
그냥기다려보는거야,517,1,0.0019,true,그냥 기다려보는거야,,,high
무엇이든,465,16,0.0344,false,,"'무엇이든'은 '어떤 것이든/상관없이'라는 뜻의 일반 한국어 단어로, 특정 곡이나 아티스트명으로 뚜렷하게 특정되지 않으며 여러 프로그램·곡 제목에 부분적으로만 등장합니다.",기타,low
사람이 지쳤잖아,446,21,0.0471,false,,아티스트 '223.32'(과거 활동명 memesohn)가 2026년 초 발표한 노래 제목입니다.,음원,high
ㅇ,444,13,0.0293,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
먼작귀,410,3,0.0073,false,,"'먼가 작고 귀여운 녀석'의 줄임말로, 일본 인기 캐릭터 '치이카와'를 가리키는 한국식 별칭이자 캐릭터 밈입니다.",밈/트렌드,high
노스텔지아 서동현,405,1,0.0025,true,노스탈지아 (BIG Naughty 서동현),,,high
불행했으면해,394,15,0.0381,true,불행했으면 좋겠어 (ByssBlue),,,medium
니썬뮤직,360,9,0.025,false,,"'니썬뮤직(Nisun Music)'은 스포티파이·애플뮤직 등에 '한마디', '슬프지 않아' 등을 발매한 인디 음악 프로젝트/아티스트입니다.",아티스트,medium
이런 여유,353,17,0.0482,true,이런 여유 너무 좋고 (E:um),,,high
퇴사할게요,346,8,0.0231,true,퇴사할게여 (전소연),,,high
이런여유,298,3,0.0101,true,이런 여유 너무 좋고 (E:um),,,high
내정보,295,0,0,false,,"멜론 앱 내 '내 정보' 메뉴로, 이용권·결제 내역·개인정보 등을 확인·관리하는 화면을 가리킵니다.",앱기능/서비스,high
호랑이기세,294,5,0.017,false,,"'호랑이의 기세'라는 뜻으로, 한번 시작한 일을 중도에 멈출 수 없다는 의미의 고사성어 '기호지세(騎虎之勢)'와 통하는 표현입니다.",지식,medium
무엇이든해낼당신에게,285,0,0,true,무엇이든 해낼 당신에게 (jehoda),,,medium
차쿤 에네스,275,0,0,false,,"'차쿤'과 '에네스'는 2000년대 인터넷에서 화제였던 노래 '눈물'을 발표한 인터넷 가수들로, 차쿤은 브레이브엔터테인먼트 소속 힙합그룹 Electro Boys 멤버이기도 합니다.",아티스트,medium
아버지가 아들에게,262,12,0.0458,false,,특정 곡명이라기보다 아버지가 아들에게 전하는 인생 조언·편지(다산 정약용의 '하피첩' 등)나 부자(父子) 듀엣곡을 통칭할 때 쓰이는 주제어입니다.,지식,medium
이승기 비밀,258,5,0.0194,false,,"이승기와 소속사(후크엔터테인먼트 등) 간 음원 정산금 미지급을 둘러싼 '정산 비밀' 논란을 가리키는 것으로 보이며, 특정 음원이 아닌 연예 이슈 관련 검색으로 추정됨.",지식,medium
임영웅신곡,257,6,0.0233,false,,"가수 임영웅의 새 발매곡(신곡)을 찾는 검색어로, 특정 곡 제목이 아니라 그의 최신 신곡 활동 전반을 가리켜 정확한 곡과 매칭되지 않은 것으로 보임.",아티스트,high
쥬시크,255,3,0.0118,true,주시크,,,high
ㅅ,247,7,0.0283,false,,의미 파악이 어려운 단문/입력 오류로 추정,기타,low
