search_keyword,search_cnt,click_cnt,click_rate,is_typo,corrected_keyword,description,category,confidence
겜작,3230,40,0.0124,false,,"명확한 의미가 확인되지 않는 검색어로, '겜(게임)+작(작곡/제작)' 형태의 인터넷 은어로 추정되나 이를 뒷받침하는 뚜렷한 근거는 찾지 못했다.",기타,low
효리수,2319,51,0.022,false,,"소녀시대 멤버 효연, 유리, 수영 세 명의 이름 글자를 딴 유닛 그룹의 별칭이다.",아티스트,medium
잔울,2070,32,0.0155,true,잔월,,,medium
뮤직웨이브,1752,23,0.0131,false,,"멜론이 제공하는 실시간 음악 감상 서비스로, DJ가 정해진 곡을 틀고 이용자들이 접속해 함께 듣고 채팅하는 기능이다.",앱기능/서비스,high
르센느,1188,0,0,true,리센느,,,medium
무엇이든 해낼 당신에게,997,0,0,false,,"작가 남상훈이 쓴 에세이집의 제목으로, 자기 위로와 성장을 주제로 한 도서이다.",지식,medium
국어별동대,788,0,0,false,,유튜브 채널 '고고프렌즈'와 '백앤아'가 만든 한글 학습 콘텐츠 및 그 주제곡의 제목이다.,음원,medium
맛뮤직,715,6,0.0084,false,,감성적인 한국 힙합·칠 음악 콘텐츠를 다루는 유튜브 채널 '맛뮤직(FLAVOR MUSIC)'을 가리킨다.,기타,medium
제이플로라,653,0,0,true,제이플라,,,medium
love basecamp,619,5,0.0081,false,,"국내 R&B/인디 아티스트 또는 크루로 알려진 'Basecamp(베이스캠프)'와 관련된 검색어로 추정되나, 'Love Basecamp'라는 명확한 곡이나 앨범은 확인되지 않는다.",기타,low
맞게살아온걸까,612,0,0,true,맞게 살아온 걸까,,,high
주간인기상,604,4,0.0066,false,,"멜론뮤직어워드에서 투표와 음원 성적을 합산해 매주 인기곡을 시상하는 코너로, 멜론 앱에서 직접 투표할 수 있다.",앱기능/서비스,high
제발 잊혀져,600,7,0.0117,true,제발,,,medium
맞게 살아온 걸까,567,11,0.0194,false,,"가수 'ROVER is'가 발표한 노래로, 앨범 '다시 숨 쉬는 법'에 수록되어 있다.",음원,medium
rover is,537,11,0.0205,false,,"국내 인디/발라드 가수 'ROVER is'로, '계속 가', '값어치', '맞게 살아온 걸까' 등의 곡을 발표했다.",아티스트,medium
nno signal,526,0,0,true,no signal,,,high
이런 여유,502,24,0.0478,true,이런 여유 너무 좋고,,,medium
해지,498,2,0.004,false,,멜론 이용권(구독) 해지 절차와 관련된 앱 서비스 검색어입니다.,앱기능/서비스,high
a20,490,16,0.0327,false,,이수만 전 SM 총괄 프로듀서가 제작한 신인 아이돌 그룹 'A20(에이투오) 루키즈'를 가리키는 것으로 보입니다.,아티스트,high
무엇이든,470,18,0.0383,false,,"'무엇이든'은 일반적인 한국어 단어로, 검색 결과상 특정 음원이나 아티스트와 명확히 연결되지 않습니다.",기타,low
맞게 살아온걸까,441,0,0,false,,"노래 가사의 일부로 추정되나, 정확히 일치하는 곡을 특정하기 어렵습니다.",기타,low
이런여유,391,9,0.023,true,이런 여유 너무 좋고,,,medium
국악딴,383,0,0,true,국악딴따라,,,medium
나도같은일년,380,10,0.0263,true,나도 같은 일년,,,high
