search_keyword,search_cnt,click_cnt,click_rate
무엇이든 해낼 당신에게,1404,0,0.0
빅밸,749,0,0.0
국어별동대,636,0,0.0
soonflow,627,0,0.0
해지,514,0,0.0
세드레인,473,0,0.0
무엇이든해낼당신에게,468,0,0.0
음만노,430,0,0.0
먼작귀,385,0,0.0
로린디엘,349,0,0.0
빅뱡,339,0,0.0
퍼피구조대,327,0,0.0
mellozen,326,0,0.0
34xp,319,0,0.0
성리 세드레인,310,0,0.0
zinaflow,301,0,0.0
germinie,239,0,0.0
캐시충전,211,0,0.0
행복이 그거래요,189,0,0.0
안녕 겜작,188,0,0.0
anoufie,186,0,0.0
serinwave,174,0,0.0
빅벵,173,0,0.0
jerome timu,170,0,0.0
빅쟁,168,0,0.0
lovixx,150,0,0.0
장한별 인생이란,147,0,0.0
삼일후,146,0,0.0
인생은 서툰 여행이래,141,0,0.0
파자마파티즈,136,0,0.0
이용권해지,136,0,0.0
paul velchev,130,0,0.0
붓꽃잎편지,129,0,0.0
쿠폰,129,0,0.0
왜내가챙피해,123,0,0.0
장한별인생이란,121,0,0.0
빗뱅,120,0,0.0
국어 별동대,119,0,0.0
myofeel,118,0,0.0
무엇이든 해낼당신에게,117,0,0.0
oia at sunset,116,0,0.0
래몬탱,112,0,0.0
차쿤에네스,110,0,0.0
빅백,109,0,0.0
meet my girls,109,0,0.0
윈위,109,0,0.0
녹는 가슴,107,0,0.0
이창민바보같지만,104,0,0.0
ヤラララ,101,0,0.0
차쿤 에네스,101,0,0.0
맞게살아온걸까,101,0,0.0
uyoung wave,100,0,0.0
빅뱉,100,0,0.0
고래보석,244,1,0.0041
이용권,200,1,0.005
녹는가슴,331,2,0.006
치하,161,1,0.0062
내정보,294,2,0.0068
방금 그 노래,143,1,0.007
리샌느,127,1,0.0079
파데코,123,1,0.0081
힙썬,108,1,0.0093
ej,106,1,0.0094
주간인기상,312,3,0.0096
biig,719,7,0.0097
보넷도,103,1,0.0097
비행정,190,2,0.0105
helloping,265,3,0.0113
ㅅ,246,3,0.0122
맛뮤직,232,3,0.0129
국민딴따라,145,2,0.0138
꺼져제발,138,2,0.0145
서핑보이,130,2,0.0154
투표,183,3,0.0164
외톨이에게,183,3,0.0164
cherry flavoured,118,2,0.0169
쿠팡,111,2,0.018
ㅇ,442,8,0.0181
잔울,951,19,0.02
효리수,11096,236,0.0213
rover is,183,4,0.0219
이런여유,269,6,0.0223
ㄷ,134,3,0.0224
ㅁ,125,3,0.024
겜작,4231,103,0.0243
verano!,247,6,0.0243
ㅣ,123,3,0.0244
헬로핑,202,5,0.0248
summer session,202,5,0.0248
무엇이든해낼,289,8,0.0277
정승환 입춘,176,5,0.0284
박뱅,170,5,0.0294
",",136,4,0.0294
꺼져 제발,166,5,0.0301
사람이지쳤잖아,164,5,0.0305
ㅈ,218,7,0.0321
아이릿,115,4,0.0348
사람이 지쳤잖아,529,19,0.0359
차라리가,109,4,0.0367
8월의여름,136,5,0.0368
불행했으면해,478,18,0.0377
ㄱ,345,13,0.0377
뮤직웨이브,1643,63,0.0383
l,129,5,0.0388
허걱,154,6,0.039
헬스키친,126,5,0.0397
이,165,7,0.0424
이런게행복이지뭐,305,13,0.0426
verano,345,15,0.0435
볼빨간,160,7,0.0438
big,363,16,0.0441
무엇이든 해낼,1017,45,0.0442
갬작,112,5,0.0446
니썬뮤직,156,7,0.0449
이런 여유 너무 좋고,569,26,0.0457
이런 여유,370,17,0.0459
1+1,102,5,0.049
호랑이기세,499,25,0.0501
무엇이든,638,32,0.0502
ivana june,298,15,0.0503
meet my girl,117,6,0.0513
빅,597,31,0.0519
난홍,211,11,0.0521
좋아 좋아,207,11,0.0531
ㅂ,261,14,0.0536
고고프렌즈,328,18,0.0549
김버거,218,12,0.055
kelly is green,127,7,0.0551
2,107,6,0.0561
씨앤블루,213,12,0.0563
to,123,7,0.0569
아,136,8,0.0588
이런게 행복이지 뭐,1112,66,0.0594
양보가 아니더라,251,15,0.0598
afterroom,133,8,0.0602
이런여유너무좋고,409,25,0.0611
mellow zen,130,8,0.0615
skibidi,363,23,0.0634
candy pink,214,14,0.0654
the gang,305,20,0.0656
불행했으면 해,842,57,0.0677
angle,100,7,0.07
장한별 가슴앓이,111,8,0.0721
yararara,180,13,0.0722
a20,461,34,0.0738
양보가아니더라,255,19,0.0745
루보체,160,12,0.075
장위안,223,17,0.0762
호랑이 기세,253,20,0.0791
성리 신곡,100,8,0.08
나의,100,8,0.08
빗물아 부탁해,494,40,0.081
스트리밍,117,10,0.0855
불량연애,466,40,0.0858
ㄴ,172,15,0.0872
sun,113,10,0.0885
우하이,124,11,0.0887
다줄게,110,10,0.0909
전설의 사내,110,10,0.0909
secret,251,23,0.0916
빗물아부탁해,396,37,0.0934
1 1,310,29,0.0935
나나호시,102,10,0.098
빅뱅 언제까지,401,40,0.0998
생각을 멈추다 보면 진영,170,17,0.1
w,148,15,0.1014
손빈아 여보,117,12,0.1026
winner cypher,222,24,0.1081
티켓,157,17,0.1083
be,108,12,0.1111
lck,175,20,0.1143
melatonin 88mg,105,12,0.1143
언제까지 빅뱅,524,60,0.1145
the star,162,19,0.1173
사랑이라니,102,12,0.1176
me,152,18,0.1184
임영웅 거리에서,185,22,0.1189
장윤정신곡,195,24,0.1231
스키비디,160,20,0.125
ㄹ,104,13,0.125
8,261,33,0.1264
나,142,18,0.1268
love3,133,17,0.1278
성리 둠바둠바,356,46,0.1292
유희승,161,21,0.1304
manphasickzuck,222,29,0.1306
돈,130,17,0.1308
거리에서 임영웅,106,14,0.1321
성리신곡,379,52,0.1372
b,129,18,0.1395
k,135,19,0.1407
one day,148,21,0.1419
멜론차트,161,23,0.1429
hey phone,482,70,0.1452
red,358,52,0.1453
또사랑이라니,1126,164,0.1456
on & on,123,18,0.1463
still,116,17,0.1466
sweet,197,29,0.1472
my boy,135,20,0.1481
date night jesse gold,121,18,0.1488
f,114,17,0.1491
ㅎ,139,21,0.1511
베인,174,27,0.1552
tatoo,134,21,0.1567
딥상어,150,24,0.16
지지,100,16,0.16
what,379,62,0.1636
like you,146,24,0.1644
love you so psycho,158,26,0.1646
violet,176,29,0.1648
예쁜바람,206,34,0.165
난,156,26,0.1667
8월의 여름,1024,172,0.168
love me love me,107,18,0.1682
애쉬,117,20,0.1709
wave to earth love,146,25,0.1712
x,349,60,0.1719
별이쏟아지는밤,103,18,0.1748
사랑 사랑 사랑,130,23,0.1769
me you,107,19,0.1776
drop,101,18,0.1782
프미나,235,42,0.1787
캐시,151,27,0.1788
wonder,173,31,0.1792
그냥갑자기,178,32,0.1798
who knows,115,21,0.1826
푸름과 여름,156,29,0.1859
나의오랜여행,347,65,0.1873
0,128,24,0.1875
야코,117,22,0.188
music,100,19,0.19
손빈아 박하사탕,152,29,0.1908
그대,165,32,0.1939
나 아직도,149,29,0.1946
no doubt,338,67,0.1982
붉은백합,130,26,0.2
to you,125,25,0.2
하필오늘비가와,148,30,0.2027
수현,1350,275,0.2037
from,156,32,0.2051
ㅋ,263,54,0.2053
two fools,425,89,0.2094
딴따라,147,31,0.2109
그냥 갑자기,485,103,0.2124
다윗,112,24,0.2143
차가운 도시,112,24,0.2143
사랑이,107,23,0.215
always will,148,32,0.2162
다시와줄래,194,42,0.2165
두근두근,341,74,0.217
지하주차장,122,27,0.2213
say,122,27,0.2213
레드,169,38,0.2249
우리,319,72,0.2257
백일,190,43,0.2263
이런게 행복이지뭐,212,48,0.2264
다큐멘터리,194,44,0.2268
하늘이 예뻐서,202,46,0.2277
boy,105,24,0.2286
kiki,235,54,0.2298
